Subject,Question
Maths,The domain and range of the function & ; f & ;& ; given by & ; f & ;(& ; x & ;)& ;=& ; 2 & ;?& ;|& ; x & ;?& ; 5 & ;|& ;& ; is
Maths,The domain for which the defined by & ; f & ;(& ; x & ;)& ;=& ; 3 & ; x & ; 2 & ;?& ; 1 & ; and & ; g & ;(& ; x & ;)& ;=& ; 3 & ;+& ; x & ;& ; are equal is
Maths,"Let & ; P & ;(& ; n & ;)& ;:& ;""& ; n & ;& ;& ;(& ; 1 & ;?& ; 2 & ;?& ; 3 & ;?& ;?& ;?& ; n & ;)& ;"". Then the positive integer for which & ; P & ;(& ; n & ;)& ;& ; is true is"
Maths,"For all & ; n & ;?& ; N & ;,& ; 3 . 5 & ; 2 & ; n & ;+& ; 1 & ;+& ; 2 & ; 3 & ; n & ;+& ; 1 & ;& ; is divisible by"
Maths,& ; A student was to prove a statement & ; P & ;(& ; n & ;)& ;& ; by induction . He proved that & ; P & ;(& ; k & ;+& ; 1 & ;)& ;& ; is true whenever & ; P & ;(& ; k & ;)& ;& ; is true for all & ; k & ;& ;& ; 5 & ;?& ; N & ;& ; and also that & ; P & ;(& ; 5 & ;)& ;& ; is true . On the basis of this he could conclude that & ; P & ;(& ; n & ;)& ;& ; is true
Maths,"If & ; 10 & ; n & ;+& ; 3 . 4 & ; n & ;+& ; 2 & ;+& ; k & ;& ; is divisible by 9 for all & ; n & ;?& ; N & ;, then the least positive integral value of & ; k & ;& ; is"
Maths,"If & ; x & ; n & ;?& ; 1 & ;& ; is divisible by & ; x & ;?& ; k & ;, then the least positive integral value of & ; k & ;& ; is"
Maths,The amplitude of & ; sin & ;?& ; & ; 5 & ;+& ; i & ;(& ; 1 & ;?& ; cos & ;?& ; & ; 5 & ;)& ; is
Maths,The equation & ;|& ; z & ;+& ; 1 & ;?& ; i & ;|& ;=& ;|& ; z & ;?& ; 1 & ;+& ; i & ;|& ;& ; a
Maths,"The area of the triangle on the complex plane formed by the complex & ; z & ;,& ;?& ; i & ; z & ;& ; and & ; z & ;+& ; i & ; z & ;& ; is :"
Maths,"If the complex number & ; z & ;=& ; x & ;+& ; i & ; y & ;& ; the condition & ;|& ; z & ;+& ; 1 & ;|& ;=& ; 1 & ;, then & ; z & ; on"
Maths,1 & ;+& ; i & ; 2 & ;+& ; i & ; 4 & ;+& ; i & ; 6 & ;+& ;?& ;+& ; i & ; 2 & ; n & ;& ; is
Maths,Number of of the equation & ; z & ; 2 & ;+& ;|& ; z & ;|& ; 2 & ;=& ; 0 & ;& ; is
Maths,"If & ; z & ;& ; is a complex number , then"
Maths,sin & ;?& ; x & ;+& ; i & ; cos & ;?& ; 2 & ; x & ;& ; and & ; cos & ;?& ; x & ;?& ; i & ; sin & ;?& ; 2 & ; x & ;& ; are conjugate to each other for :
Maths,Which of the following is correct for any two complex & ; z & ; 1 & ;& ; and & ; z & ; 2 & ;?
Maths,"Let & ; x & ;,& ; y & ;?& ; R & ;, then & ; x & ;+& ; i & ; y & ;& ; is a non real complex number if :"
Maths,The real value of & ; & ;& ; for which the expression & ; 1 & ;?& ; i & ; sin & ;?& ; & ; 1 & ;+& ; 2 & ; i & ; sin & ;?& ; & ; is purely real is :
Maths,|& ; z & ; 1 & ;+& ; z & ; 2 & ;|& ;=& ;|& ; z & ; 1 & ;|& ;+& ;|& ; z & ; 2 & ;|& ; is possible if
Maths,The complex number & ; z & ;& ; which the condition & ;|& ; i & ;+& ; z & ; i & ;?& ; z & ;|& ;=& ; 1 & ; on
Maths,"A real value of & ; x & ;& ; the equation & ;(& ; 3 & ;?& ; 4 & ; i & ; x & ; 3 & ;+& ; 4 & ; i & ; x & ;)& ;=& ; & ;?& ; i & ;?& ;(& ; & ;,& ;?& ;?& ; R & ;)& ; if & ; & ; 2 & ;+& ;?& ; 2 & ;="
Maths,"The point by the complex number & ; 2 & ;?& ; i & ;& ; is rotated about origin angle & ; & ; 2 & ; in the clockwise direction , the new position of point is :"
Maths,"If & ;(& ; 1 & ;+& ; i & ; 1 & ;?& ; i & ;)& ; x & ;=& ; 1 & ;, then"
Maths,"If & ; a & ;+& ; i & ; b & ;=& ; c & ;+& ; i & ; d & ;, & ; then"
Maths,The value of & ;(& ; z & ;+& ; 3 & ;)& ;(& ; z & ;?& ;+& ; 3 & ;)& ; is equivalent to
Maths,"If & ; z & ;=& ; x & ;+& ; i & ; y & ;& ; in the third quadrant , then & ; z & ;?& ; z & ; also in the third quadrant if"
Maths,"If & ; f & ;(& ; z & ;)& ;=& ; 7 & ;?& ; z & ; 1 & ;?& ; z & ; 2 & ;, where & ; z & ;=& ; 1 & ;+& ; 2 & ; i & ;, then & ;|& ; f & ;(& ; z & ;)& ;|& ;& ; is"
Maths,The real value of & ;?& ;& ; for which the expression & ; 1 & ;+& ; i & ; cos & ;?& ;?& ; 1 & ;?& ; 2 & ; i & ; cos & ;?& ;?& ; is a real number is :
Maths,The value of & ; & ;?& ;(& ; x & ;)& ; when & ; x & ;& ;& ; 0 & ;& ; is :
Maths,"of the a system in variable & ; x & ;& ; are on number as given below , then & ;"
Maths,"& ; If & ;|& ; x & ;?& ; 2 & ;|& ; x & ;?& ; 2 & ; & ; 0 & ;, then"
Maths,"The length of a rectangle is three times the breadth . If the minimum perimeter of the rectangle is & ; 160 & ;& ; c & ; m & ;, then"
Maths,"& ; If & ;|& ; x & ;+& ; 3 & ;|& ; & ; 10 & ;, then"
Maths,"If & ; x & ;& ; is a real number and & ;|& ; x & ;|& ;& ;& ; 3 & ;, then"
Maths,"If & ; x & ;& ;& ; 5 & ;, then"
Maths,"x & ;& ; and & ; b & ;& ; are real . If & ; b & ;& ;& ; 0 & ; and & ;|& ; x & ;|& ;& ;& ; b & ;, then"
Maths,"If & ;|& ; x & ;+& ; 2 & ;|& ; & ; 9 & ;, then"
Maths,"If & ;?& ; 3 & ; x & ;+& ; 17 & ;& ;& ;?& ; 13 & ;, then"
Maths,"Given that & ; x & ;,& ; y & ;& ; and & ; b & ;& ; are real and & ; x & ;& ;& ; y & ;,& ; b & ;& ;& ; 0 & ;, then"
Maths,"If & ;|& ; x & ;?& ; 1 & ;|& ;& ;& ; 5 & ;, then"
Maths,Solution of a linear inequality in variable & ; x & ;& ; is on number line in & ;
Maths,Solution of a linear inequality in variable & ; x & ;& ; is on number line in
Maths,Solution of a linear inequality in variable & ; x & ; is on number line in
Maths,The number of that can be sent by 6 of different taking one or more at a time is
Maths,"There are four bus between & ; A & ;& ; and & ; B & ;;& ;& ; and three bus between & ; B & ;& ; and & ; C & ;. & ; A man can travel round - trip in number of ways by bus from & ; A & ;& ; to & ; C & ;& ; via & ; B & ;. & ; If he does not want to use a bus route more than once , in how many ways can he make round trip ?"
Maths,In an examination there are three multiple choice and each question 4 . Number of ways in which a student can fail to get all answer correct is
Maths,"In how many ways a committee of 3 men and 2 , can be chosen from 7 men and 5 ?"
Maths,"The straight & ; l & ; 1 & ;,& ; l & ; 2 & ;& ; and & ; l & ; 3 & ; are parallel and lie in the same plane . A total of & ; m & ;& ; are taken on & ; l & ; 1 & ;;& ; n & ;& ; on & ; l & ; 2 & ;,& ; k & ;& ; on & ; l & ; 3 & ;. The maximum number of formed with vertices at these are"
Maths,Ten different of alphabet are given . with five are formed from these given . Then the number of which have at least one letter repeated is
Maths,All the of the word ' ' are in different possible ways . The number of such in which no two are adjacent to each other is
Maths,"If & ;& ; n & ; C & ; 12 & ;=& ;& ; n & ; C & ; 8 & ;, then & ; n & ;& ; is equal to"
Maths,"The sum of the in unit place of all the formed with the help of 3 , 4 , 5 and 6 taken all at a time is"
Maths,Total number of formed by 2 and 3 taken from 4 and 5 is equal to
Maths,The number of possible when a coin is 6 times is
Maths,"A five digit number divisible by 3 is to be formed the & ; 0 & ;,& ; 1 & ;,& ; 2 & ;,& ; 3 & ;,& ; 4 & ;& ; and 5 without . The total number of ways this can be done is"
Maths,"The number of different four digit that can be formed with the 2 ,& ; 3 & ;,& ; 4 & ;,& ; 7 & ; and each digit only once is"
Maths,"The number of which can be formed out of the of the word ARTICLE , so that occupy the even place is"
Maths,"The number of that are formed by choosing the vertices from a set of 12 , seven of which lie on the same line is"
Maths,Every body in a room with everybody else . The total number of hand is 66 . The total number of in the room is
Maths,The total number of 9 digit which have all different is
Maths,The number of that can be formed from a set of four parallel another set of three parallel is
Maths,The number of ways in which we can choose a committee from four men and six so that the committee at least two men and exactly twice as many as men is
Maths,"Given 5 different green , four different blue and three different red , the number of of which can be chosen taking at least one green and one blue dye is"
Maths,The number of ways in which a team of eleven can be selected from 22 always 2 of them and excluding 4 of them is
Maths,The number of 5 - digit telephone one of their repeated is
Maths,The coefficient of & ; x & ; p & ;& ; and & ; x & ; 4 & ;(& ; p & ;& ; and & ; q & ;& ; are positive ) in the expansion of & ;(& ; 1 & ;+& ; x & ;)& ; p & ;+& ; q & ;& ; are
Maths,"If the of & ; x & ; 7 & ; and & ; x & ; 8 & ; in & ; 2 & ;+& ; x & ; 3 & ; n & ; are equal , then & ; n & ;& ; is"
Maths,"The number of in the expansion of & ;(& ; a & ;+& ; b & ;+& ; c & ;)& ; n & ;, where & ; n & ;?& ; N & ;& ; is"
Maths,"If & ;(& ; 1 & ;?& ; x & ;+& ; x & ; 2 & ;)& ; n & ;=& ; a & ; 0 & ;+& ; a & ; 1 & ; x & ;+& ; a & ; 2 & ; x & ; 2 & ;+& ;?& ;+& ; a & ; 2 & ; n & ; x & ; 2 & ; n & ;, then & ; a & ; 0 & ;+& ; a & ; 2 & ;+& ; a & ; 4 & ;+& ;?& ;& ;+& ; a & ; 2 & ; n & ; ."
Maths,The total number of in the expansion of & ;(& ; x & ;+& ; a & ;)& ; 51 & ;?& ;(& ; x & ;?& ; a & ;)& ; 51 & ; after simplification is
Maths,The ratio of the coefficient of & ; x & ; 15 & ;& ; to the term independent of & ; x & ;& ; in & ; x & ; 2 & ;+& ; 2 & ; x & ;& ; is
Maths,"& ; If & ; z & ;=& ; 3 & ; 2 & ;+& ; i & ; 2 & ; 5 & ;+& ; 3 & ; 2 & ;?& ; i & ; 2 & ;, & ; then"
Maths,"If the middle term of & ; 1 & ; x & ;+& ; x & ; sin & ;?& ; x & ;& ; is equal to & ; 7 & ; 7 & ; 8 & ;, then value of & ; x & ;& ; is"
Maths,"If & ; A & ;& ; and & ; B & ;& ; are coefficient of & ; x & ; n & ;& ; in the of & ;(& ; 1 & ;+& ; x & ;)& ; 2 & ; n & ; and & ;(& ; 1 & ;+& ; x & ;)& ; 2 & ; n & ;?& ; 1 & ;& ; respectively , then & ; A & ; B & ;"
Maths,The total number of in the expansion of & ;(& ; x & ;+& ; a & ;)& ; 100 & ;+& ;(& ; x & ;?& ; a & ;)& ; 100 & ;& ; after simplification is
Maths,"If the of & ; 2 & ; & ;,& ; 3 & ; & ;& ; and the & ; 4 & ; th & ; in the expansion of & ;(& ; 1 & ;+& ; x & ;)& ; n & ; are in A . P ., then value of & ; n & ;& ; is"
Maths,The two successive in the expansion of & ;(& ; 1 & ;+& ; x & ;)& ; 24 & ;& ; whose are in the ratio & ; 1 & ;:& ; 4 & ;& ; are
Maths,The coefficient of & ; x & ; n & ;& ; in the expansion of & ;(& ; 1 & ;+& ; x & ;)& ; 2 & ; n & ;& ; and & ;(& ; 1 & ;+& ; x & ;)& ; 2 & ; n & ;?& ; 1 & ;& ; are in the ratio .
Maths,"Given the & ; r & ;& ;& ; 1 & ;,& ; n & ;& ;& ; 2 & ;, & ; and of & ;(& ; 3 & ; r & ;)& ; th & ;& ; and & ;(& ; r & ;+& ; 2 & ;)& ; & ;& ; in the binomial expansion of & ;(& ; 1 & ;+& ; x & ;)& ; 2 & ; n & ;& ; are equal , then"
Maths,A sequence may be defined as a
Maths,The 10th common term between the series & ; 3 & ;+& ; 7 & ;+& ; 11 & ;+& ;?& ; and & ; 1 & ;+& ; 6 & ;+& ; 11 & ;+& ;?& ;& ; is
Maths,"& ; If & ; x & ;,& ; y & ;,& ; z & ;& ; are positive then value of expression & ;(& ; x & ;+& ; y & ;)& ;(& ; y & ;+& ; z & ;)& ;(& ; z & ;+& ; x & ;)& ;& ; is"
Maths,& ; In an A . P . the & ; p & ; th term is & ; q & ;& ; and the & ;(& ; p & ;+& ; q & ;)& ; th & ; term is 0 . Then the & ; q & ; th term is
Maths,"Let & ; S & ;& ; be the sum ,& ; P & ;& ; be the product and & ; R & ;& ; be the sum of the of 3 of a G . P . Then & ; P & ; 2 & ; R & ; 3 & ;:& ; S & ; 3 & ;& ; is equal to"
Maths,"& ; In a G . P . of positive , if any term is equal to the sum of the next two . Then the common ratio of the G . P . is"
Maths,If & ; t & ; n & ;& ; the nth term of the series & ; 2 & ;+& ; 3 & ;+& ; 6 & ;+& ; 11 & ;+& ; 18 & ;+& ;?& ; then & ; t & ; 50 & ;& ; is
Maths,"If in an A . P .,& ; S & ; n & ;=& ; q & ; n & ; 2 & ;& ; and & ; S & ; m & ;=& ; q & ; m & ; 2 & ;, where & ; S & ; r & ;& ; the sum of & ; r & ;& ; of the A . P ., then & ; S & ; q & ;& ;"
Maths,"If & ; x & ;,& ; 2 & ; y & ;,& ; 3 & ; z & ;& ; are in A . P ., where the distinct & ; x & ;,& ; y & ;,& ; z & ;& ; are in G . P . then the common ratio of the G . P . is"
Maths,The of three unequal of a rectangular solid block are in G . P . The volume of the block is & ; 216 & ;& ; c & ; m & ; 3 & ;& ; and the total surface area is & ; 252 & ;& ; c & ; m & ; 2 & ;. The length of the edge is
Maths,"The minimum value of & ; 4 & ; x & ;+& ; 4 & ; 1 & ;?& ; x & ;,& ; x & ;?& ; R & ;, is"
Maths,The third term of G . P . is 4 . The product of its first 5 is
Maths,"If the sum of & ; n & ;& ; of an A . P . is given by & ; S & ; n & ;=& ; 3 & ; n & ;+& ; 2 & ; n & ; 2 & ;, then the common difference of the A . P . is"
Maths,"If 9 times the & ; 9 & ; th & ;& ; term of an A . P . is equal to 13 times the & ; 13 & ; th & ; term , then the & ; 22 & ; & ;& ; term of the A . P . is"
Maths,Let & ; S & ; n & ;& ; denote the sum of the of the first & ; n & ;& ; natural and & ; s & ; n & ;& ; denote the sum of the first & ; n & ;& ; natural . Then & ;?& ; r & ;=& ; 1 & ; n & ; S & ; r & ; s & ; r & ;
Maths,The inclination of the line & ; x & ;?& ; y & ;+& ; 3 & ;=& ; 0 & ;& ; with the positive direction of & ; x & ;- axis is
Maths,"The distance of the point & ; P & ;(& ; 1 & ;,& ;?& ; 3 & ;)& ; from the line & ; 2 & ; y & ;?& ; 3 & ; x & ;=& ; 4 & ;& ; is"
Maths,"The intercept cut off by a line from & ; y & ;- axis is twice than that from & ; x & ;- axis , and the line through the point & ;(& ; 1 & ;,& ; 2 & ;)& ;. The equation of the line is"
Maths,"& ; A point such that its distance from the point & ;(& ; 4 & ;,& ; 0 & ;)& ; is half that of its distance from the line & ; x & ;=& ; 16 & ;. The locus of the point is"
Maths,"The equation of the line passing through & ;(& ; 1 & ;,& ; 2 & ;)& ;& ; and perpendicular to & ; x & ;+& ; y & ;+& ; 7 & ;=& ; 0 & ;& ; is"
Maths,The two & ; a & ; x & ;+& ; b & ; y & ;=& ; c & ;& ; and & ; a & ;?& ; x & ;+& ; b & ;?& ; y & ;=& ; c & ;?& ; are perpendicular if
Maths,"A line through & ; P & ;(& ; 1 & ;,& ; 2 & ;)& ; such that its intercept between the axes is at & ; P & ;. The equation of the line is"
Maths,"The of the foot of the perpendicular from the point & ;(& ; 2 & ;,& ; 3 & ;)& ; on the line & ; x & ;+& ; y & ;?& ; 11 & ;=& ; 0 & ;& ; are"
Maths,Slope of a line which off of equal on the axes is
Maths,"A line cutting off intercept & ;?& ; 3 & ;& ; from the & ; y & ;- axis and the at angle to the & ; x & ;- axis is & ; 3 & ; 5 & ;, its equation is"
Maths,"The tangent of angle between the whose on the axes are & ; a & ;,& ;?& ; b & ;& ; and & ; b & ;,& ;?& ; a & ;, respectively , is"
Maths,"The equation of the line passing through the point & ;(& ; 1 & ;,& ; 2 & ;)& ; and perpendicular to the line & ; x & ;+& ; y & ;+& ; 1 & ;=& ; 0 & ;& ; is"
Maths,The distance of the point of intersection of the & ; 2 & ; x & ;?& ; 3 & ; y & ;+& ; 5 & ;=& ; 0 & ;& ; and & ; 3 & ; x & ;+& ; 4 & ; y & ;=& ; 0 & ;& ; from the line & ; 5 & ; x & ;?& ; 2 & ; y & ;=& ; 0 & ;& ; is
Maths,"The equation of the straight line passing through the point & ;(& ; 3 & ;,& ; 2 & ;)& ;& ; and perpendicular to the line & ; y & ;=& ; x & ;& ; is"
Maths,"The of the passing through the point & ;(& ; 1 & ;,& ; 0 & ;)& ; and at a distance & ; 3 & ; 2 & ; from the origin , are"
Maths,The distance between the & ; y & ;=& ; m & ; x & ;+& ; c & ; 1 & ;& ; and & ; y & ;=& ; m & ; x & ;+& ; c & ; 2 & ; is
Maths,"The of the which pass through the point & ;(& ; 3 & ;,& ;?& ; 2 & ;)& ; and are at & ; 60 & ;?& ; to the line & ; 3 & ; x & ;+& ; y & ;=& ; 1 & ;& ; is"
Maths,"If the line & ; x & ; a & ;+& ; y & ; b & ;=& ; 1 & ;& ; through the & ;(& ; 2 & ;,& ;?& ; 3 & ;)& ; and & ;(& ; 4 & ;,& ;?& ; 5 & ;)& ;, then & ;(& ; a & ;,& ; b & ;)& ;& ; is"
Maths,"of of the square formed by the & ; x & ;=& ; 0 & ;,& ; y & ;=& ; 0 & ;,& ; x & ;=& ; 1 & ;& ; and & ; y & ;=& ; 1 & ;& ; are"
Maths,"A point equidistant from the & ; 4 & ; x & ;+& ; 3 & ; y & ;+& ; 10 & ;=& ; 0 & ;,& ; 5 & ; x & ;?& ; 12 & ; y & ;+& ; 26 & ;=& ; 0 & ;& ; and & ; 7 & ; x & ;+& ; 24 & ; y & ;?& ; 50 & ;=& ; 0 & ; is"
Maths,"If the of the middle point of the portion of a line between the axes is & ;(& ; 3 & ;,& ; 2 & ;)& ;, then the equation of the line will be"
Maths,The ratio in which the line & ; 3 & ; x & ;+& ; 4 & ; y & ;+& ; 2 & ;=& ; 0 & ;& ; the distance between the & ; 3 & ; x & ;+& ; 4 & ; y & ;+& ; 5 & ;=& ; 0 & ;& ; and & ; 3 & ; x & ;+& ; 4 & ; y & ;?& ; 5 & ;=& ; 0 & ;& ; is
Maths,"Equation of the line passing through & ;(& ; 1 & ;,& ; 2 & ;)& ; and parallel to the line & ; y & ;=& ; 3 & ; x & ;?& ; 1 & ;& ; is"
Maths,"A line through & ;(& ; 2 & ;,& ; 2 & ;)& ;& ; and is perpendicular to the line & ; 3 & ; x & ;+& ; y & ;=& ; 3 & ;. Its & ; y & ;& ; intercept is"
Maths,One vertex of the equilateral triangle with centroid at the origin and one side as & ; x & ;+& ; y & ;?& ; 2 & ;=& ; 0 & ;& ; is
Maths,"The of the foot of from the point & ;(& ; 2 & ;,& ; 3 & ;)& ; on the line & ; y & ;=& ; 3 & ; x & ;+& ; 4 & ;& ; is given by"
Maths,"For a straight line , how many geometrical should be known ?"
Maths,"The point & ;(& ; 4 & ;,& ; 1 & ;)& ; the following two successive :( i ) Reflection about the line & ; y & ;=& ; x & ;( ) Translation through a distance 2 along the positive & ; x & ;- axis Then the final of the point areA point equidistant from the & ; 4 & ; x & ;+& ; 3 & ; y & ;+& ; 10 & ;=& ; 0 & ;,& ; 5 & ; x & ;?& ; 12 & ; y & ;+& ; 26 & ;=& ; 0 & ; and & ; 7 & ; x & ;+& ; 24 & ; y & ;?& ; 50 & ;=& ; 0 & ; is ( A )& ;(& ; 1 & ;,& ;?& ; 1 & ;)& ;( B )& ;(& ; 1 & ;,& ; 1 & ;)& ;( C )& ;(& ; 0 & ;,& ; 0 & ;)& ;( D )& ;(& ; 0 & ;,& ; 1 & ;)"
Maths,"The equation of the ellipse whose is at the origin and the & ; x & ;- axis , the major axis , which through the & ;(& ;?& ; 3 & ;,& ; 1 & ;)& ; and & ;(& ; 2 & ;,& ;?& ; 2 & ;)& ; is"
Maths,"The length of the transverse axis along & ; x & ;- axis with at origin of a hyperbola is 7 and it through the point & ;(& ; 5 & ;,& ;?& ; 2 & ;)& ;. The equation of the hyperbola is"
Maths,The area of the triangle formed by the joining the vertex of the parabola & ; x & ; 2 & ;=& ; 12 & ; y & ;& ; to the of its latus rectum is & ;
Maths,The of the joining the vertex of the parabola & ; y & ; 2 & ;=& ; 6 & ; x & ;& ; to the on it which have abscissa 24 are
Maths,"The equation of the circle & ;(& ; 1 & ;,& ;?& ; 2 & ;)& ; and passing through the point of intersection of the & ; 3 & ; x & ;+& ; y & ;=& ; 14 & ;& ; and & ; 2 & ; x & ;+& ; 5 & ; y & ;=& ; 18 & ;& ; is"
Maths,The equation of the circle in the first quadrant touching each axis at a distance of one unit from the origin is :& ;
Maths,"The area of the circle at & ;(& ; 1 & ;,& ; 2 & ;)& ; and passing through & ;(& ; 4 & ;,& ; 6 & ;)& ;& ; is"
Maths,"Equation of the circle with on the & ; y & ;- axis and passing through the origin and the point & ;(& ; 2 & ;,& ; 3 & ;)& ;& ; is"
Maths,"Equation of a circle which through & ;(& ; 3 & ;,& ; 6 & ;)& ; and the axes is"
Maths,The equation of a circle with origin as and passing through the vertices of an equilateral triangle whose median is of length & ; 3 & ; a & ;& ; is
Maths,The eccentricity of the hyperbola whose latus rectum is 8 and conjugate axis is equal to half of the distance between the foci is
Maths,"If the parabola & ; y & ; 2 & ;=& ; 4 & ; a & ; x & ;& ; through the point & ;(& ; 3 & ;,& ; 2 & ;)& ;, then the length of its latus rectum is"
Maths,"Equation of the hyperbola with & ; 3 & ; 2 & ; and foci at & ;(& ; & ; 2 & ;,& ; 0 & ;)& ; is"
Maths,"If the vertex of the parabola is the point & ;(& ;?& ; 3 & ;,& ; 0 & ;)& ; and the directrix is the line & ; x & ;+& ; 5 & ;=& ; 0 & ;, then its equation is"
Maths,The distance between the foci of a hyperbola is 16 and its eccentricity is & ; 2 & ;. Its equation is
Maths,"If the focus of a parabola is & ;(& ; 0 & ;,& ;?& ; 3 & ;)& ;& ; and its directrix is & ; y & ;=& ; 3 & ;, then its equation is"
Maths,"The equation of the ellipse whose focus is & ;(& ; 1 & ;,& ;?& ; 1 & ;)& ;, the directrix the line & ; x & ;?& ; y & ;?& ; 3 & ;=& ; 0 & ; and eccentricity & ; 1 & ; 2 & ; is"
Maths,The length of the latus rectum of the ellipse & ; 3 & ; x & ; 2 & ;+& ; y & ; 2 & ;=& ; 12 & ;& ; is
Maths,"If & ; e & ;& ; is the eccentricity of the ellipse & ; x & ; 2 & ; a & ; 2 & ;+& ; y & ; 2 & ; b & ; 2 & ;=& ; 1 & ;(& ; a & ;& ;& ; b & ;)& ;, then"
Maths,"The length of the foot of perpendicular drawn from the point & ; P & ;(& ; 3 & ;,& ; 4 & ;,& ; 5 & ;)& ; on & ; y & ;- axis is"
Maths,"What is the locus of a point for which & ; y & ;=& ; 0 & ;,& ; z & ;=& ; 0 & ;?"
Maths,"L is the foot of the perpendicular drawn from a point & ;(& ; 6 & ;,& ; 7 & ;,& ; 8 & ;)& ; on & ; x & ;- axis . The of & ; L & ;& ; are"
Maths,"L is the foot of the perpendicular drawn from a point & ; P & ;(& ; 6 & ;,& ; 7 & ;,& ; 8 & ;)& ; on the & ; x & ; y & ;& ; plane . What are the of point & ; L & ;?"
Maths,"L is the foot of the perpendicular drawn from a point & ; P & ;(& ; 3 & ;,& ; 4 & ;,& ; 5 & ;)& ; on the & ; x & ; z & ;& ; plane . What are the of point & ; L & ;?"
Maths,"What is the perpendicular distance of the point & ; P & ;(& ; 6 & ;,& ; 7 & ;,& ; 8 & ;)& ; from & ; x & ; y & ;- plane ?"
Maths,"If the distance between the & ;(& ; a & ;,& ; 0 & ;,& ; 1 & ;)& ; and & ;(& ; 0 & ;,& ; 1 & ;,& ; 2 & ;)& ; is & ; 27 & ;, then the value of & ; a & ;& ; is"
Maths,x & ;- axis is the intersection of two
Maths,"Distance of the point & ;(& ; 3 & ;,& ; 4 & ;,& ; 5 & ;)& ;& ; from the origin & ;(& ; 0 & ;,& ; 0 & ;,& ; 0 & ;)& ;& ; is"
Maths,"The locus of a point for which & ; y & ;=& ; 0 & ;,& ; z & ;=& ; 0 & ;& ; is"
Maths,"The distance of point & ; P & ;(& ; 3 & ;,& ; 4 & ;,& ; 5 & ;)& ; from the & ; y & ; z & ;- plane is"
Maths,Equation of & ; y & ;- axis is considered as
Maths,"The point & ;(& ;?& ; 2 & ;,& ;?& ; 3 & ;,& ;?& ; 4 & ;)& ; in the"
Maths,"What is the length of foot of perpendicular drawn from the point & ; P & ;(& ; 3 & ;,& ; 4 & ;,& ; 5 & ;)& ; on & ; y & ;- axis"
Maths,"L & ;& ; is the foot of the perpendicular drawn from a point & ; P & ;(& ; 3 & ;,& ; 4 & ;,& ; 5 & ;)& ; on the & ; x & ; y & ;- plane . The of point & ; L & ;& ; are"
Maths,The locus of a point for which & ; x & ;=& ; 0 & ;& ; is
Maths,"L & ;& ; is the foot of the perpendicular drawn from a point & ;(& ; 3 & ;,& ; 4 & ;,& ; 5 & ;)& ; on & ; x & ;- axis . The of & ; L & ;& ; are"
Maths,"If a parallelopiped is formed by drawn through the & ;(& ; 5 & ;,& ; 8 & ;,& ; 10 & ;)& ; and & ;(& ; 3 & ;,& ; 6 & ;,& ; 8 & ;)& ; parallel to the , then the length of diagonal of the parallelopiped is"
Physics,The & ; 2 . 745 & ; and & ; 2 . 735 & ; on rounding off to 3 will give
Physics,The number of in & ; 0 . 06900 & ; is
Physics,Which of the following of physical does not have same formula ?
Physics,"If momentum & ;(& ; P & ;)& ;, area & ;(& ; A & ;)& ; and t ? me & ;(& ; T & ;)& ; are taken to be fundamental quant ? , then energy the formula"
Physics,"If ' s constant (& ; h & ;) and speed of light in vacuum & ;(& ; c & ;)& ; are taken as two fundamental , which one of the following can , in addition , be taken to express length , mass and time in of the three chosen fundamental ?"
Physics,The mean length of an object is & ; 5 & ;& ; c & ; m & ;. Which of the following is most accurate ?
Physics,Measure of two along with the of respective measuring instrument is & ; A & ;=& ; 2 . 5 & ;& ; m & ;& ; s & ;?& ; 1 & ; & ; 0 . 5 & ;& ; m & ;& ; s & ;?& ; 1 & ; B & ;=& ; 0 . 10 & ;& ; s & ; & ; 0 . 01 & ;& ; s & ; The value of & ; A & ; B & ; will be
Physics,Which of the following express pressure ?
Physics,"You measure two as & ; A & ;=& ; 1 . 0 & ;& ; m & ; & ; 0 . 2 & ;& ; m & ;,& ; B & ;=& ; 2 . 0 & ;& ; m & ; & ; 0 . 2 & ;& ; m & ; We should report correct value for & ; A & ; B & ; as :"
Physics,"Young ' s modulus of steel is & ; 1 . 9 & ;?& ; 10 & ; 11 & ;& ; N & ;/& ; m & ; 2 & ;. When expressed in of & ;/& ; c & ; m & ; 2 & ;, it will be equal to & ;(& ; 1 & ;& ; N & ;=& ; 10 & ; 5 & ;& ; dyne ,& ;& ; 1 & ;& ; m & ; 2 & ;=& ; 10 & ; 4 & ;& ; c & ; m & ; 2 & ;)& ;"
Physics,"The mass and volume of a body are & ; 4 . 237 & ;& ; g & ; and & ; 2 . 5 & ;& ; c & ; m & ; 3 & ;, respectively . The density of the material of the body in correct is"
Physics,"If & ; P & ;,& ; Q & ;,& ; R & ; are physical , different , which of the following can never be a meaningful quantity ?"
Physics,"The sum of the & ; 436 . 32 & ;,& ; 227 . 2 & ; and & ; 0 . 301 & ; i & ; n & ; appropriate significant is"
Physics,Which of the following is most precise ?
Physics,"On the of , decide which of the following for the displacement of a particle undergoing harmonic motion is not correct :"
Physics,Which of the following are not a unit of time ?
Physics,"The length and breadth of a rectangular sheet are & ; 16 . 2 & ;& ; c & ; m & ; and & ; 10 . 1 & ;& ; c & ; m & ;, respectively . The area of the sheet in and error is"
